M_star,M_gas,gamma,R_c,T_m1,T_a1,q,incl,f_freeze,f_dissoc,f_1-0_12co,f_2-1_12co,f_3-2_12co,f_1-0_13co,f_2-1_13co,f_3-2_13co,f_1-0_c18o,f_2-1_c18o,f_3-2_c18o,f_1-0_c18o_low,f_2-1_c18o_low,f_3-2_c18o_low
0.5,1.00E-04,0,100,100,1000,0.45,90,0.207,0.781,0.055,0.241,0.532,0.006,0.053,0.147,0.001,0.009,0.027,0,0.003,0.009
0.5,1.00E-04,0,100,100,1500,0.45,0,0.115,0.796,0.147,1.027,3.083,0.006,0.062,0.195,0.001,0.009,0.028,0,0.003,0.009
0.5,1.00E-04,0,100,100,1500,0.45,45,0.115,0.796,0.152,1.023,2.963,0.006,0.064,0.2,0.001,0.009,0.029,0,0.003,0.01
0.5,1.00E-04,0,100,100,1500,0.45,90,0.115,0.796,0.091,0.532,1.369,0.006,0.056,0.175,0.001,0.009,0.028,0,0.003,0.01
0.5,1.00E-04,0,200,100,500,0.45,0,0.528,1,0,0,0,0,0,0,0,0,0,0,0,0
0.5,1.00E-04,0,200,100,500,0.45,45,0.528,1,0,0,0,0,0,0,0,0,0,0,0,0
0.5,1.00E-04,0,200,100,500,0.45,90,0.528,1,0,0,0,0,0,0,0,0,0,0,0,0
0.5,1.00E-04,0,200,100,750,0.45,0,0.377,1,0,0,0,0,0,0,0,0,0,0,0,0
0.5,1.00E-04,0,200,100,750,0.45,45,0.377,1,0,0,0,0,0,0,0,0,0,0,0,0
0.5,1.00E-04,0,200,100,750,0.45,90,0.377,1,0,0,0,0,0,0,0,0,0,0,0,0
0.5,1.00E-04,0,200,100,1000,0.45,0,0.284,1,0,0,0,0,0,0,0,0,0,0,0,0
0.5,1.00E-04,0,200,100,1000,0.45,45,0.284,1,0,0,0,0,0,0,0,0,0,0,0,0
0.5,1.00E-04,0,200,100,1000,0.45,90,0.284,1,0,0,0,0,0,0,0,0,0,0,0,0
0.5,1.00E-04,0,200,100,1500,0.45,0,0.174,1,0,0,0,0,0,0,0,0,0,0,0,0
0.5,1.00E-04,0,200,100,1500,0.45,45,0.174,1,0,0,0,0,0,0,0,0,0,0,0,0
0.5,1.00E-04,0,200,100,1500,0.45,90,0.174,1,0,0,0,0,0,0,0,0,0,0,0,0
0.5,3.00E-04,0,30,100,500,0.45,0,0.039,0.08,0.271,1.406,3.42,0.041,0.283,0.82,0.012,0.097,0.27,0.005,0.047,0.138
0.5,3.00E-04,0,30,100,500,0.45,45,0.039,0.08,0.285,1.397,3.326,0.046,0.327,0.937,0.013,0.105,0.307,0.005,0.049,0.147
0.5,3.00E-04,0,30,100,500,0.45,90,0.039,0.08,0.167,0.694,1.54,0.04,0.27,0.753,0.011,0.094,0.276,0.005,0.045,0.135
0.5,3.00E-04,0,30,100,750,0.45,0,0.029,0.071,0.423,2.473,6.305,0.042,0.327,1.04,0.011,0.095,0.288,0.004,0.042,0.134
0.5,3.00E-04,0,30,100,750,0.45,45,0.029,0.071,0.447,2.491,6.24,0.046,0.368,1.168,0.011,0.1,0.315,0.004,0.043,0.14
0.5,3.00E-04,0,30,100,750,0.45,90,0.029,0.071,0.323,1.528,3.538,0.04,0.322,1.022,0.01,0.091,0.292,0.004,0.041,0.131
0.5,3.00E-04,0,30,100,1000,0.45,0,0.024,0.078,0.526,3.442,9.2,0.041,0.335,1.123,0.009,0.09,0.284,0.003,0.038,0.124
0.5,3.00E-04,0,30,100,1000,0.45,45,0.024,0.078,0.564,3.552,9.345,0.043,0.369,1.241,0.01,0.092,0.302,0.004,0.039,0.128
0.5,3.00E-04,0,30,100,1000,0.45,90,0.024,0.078,0.454,2.496,6.023,0.038,0.33,1.125,0.009,0.084,0.282,0.003,0.036,0.121
0.5,3.00E-04,0,30,100,1500,0.45,0,0.018,0.071,0.626,4.917,14.432,0.036,0.316,1.12,0.007,0.076,0.255,0.003,0.03,0.104
0.5,3.00E-04,0,30,100,1500,0.45,45,0.018,0.071,0.68,5.311,15.488,0.037,0.338,1.209,0.007,0.077,0.263,0.003,0.03,0.106
0.5,3.00E-04,0,30,100,1500,0.45,90,0.018,0.071,0.609,4.498,12.381,0.033,0.306,1.126,0.007,0.07,0.246,0.003,0.029,0.1
0.5,3.00E-04,0,60,100,500,0.45,0,0.237,0.246,0.381,2.017,4.929,0.05,0.362,0.991,0.01,0.095,0.279,0.003,0.037,0.113
0.5,3.00E-04,0,60,100,500,0.45,45,0.237,0.246,0.398,1.986,4.723,0.053,0.407,1.131,0.01,0.1,0.296,0.004,0.039,0.118
0.5,3.00E-04,0,60,100,500,0.45,90,0.237,0.246,0.198,0.817,1.792,0.045,0.314,0.852,0.01,0.091,0.269,0.004,0.037,0.113
0.5,3.00E-04,0,60,100,750,0.45,0,0.147,0.211,0.605,3.718,9.755,0.051,0.424,1.288,0.009,0.094,0.303,0.003,0.035,0.115
0.5,3.00E-04,0,60,100,750,0.45,45,0.147,0.211,0.632,3.675,9.342,0.053,0.464,1.437,0.009,0.098,0.316,0.003,0.036,0.12
0.5,3.00E-04,0,60,100,750,0.45,90,0.147,0.211,0.405,1.908,4.389,0.046,0.388,1.207,0.009,0.091,0.296,0.003,0.035,0.116
0.5,3.00E-04,0,60,100,1000,0.45,0,0.099,0.208,0.738,5.143,14.368,0.048,0.432,1.391,0.008,0.088,0.295,0.003,0.032,0.109
0.5,3.00E-04,0,60,100,1000,0.45,45,0.099,0.208,0.779,5.182,14.016,0.05,0.463,1.521,0.008,0.09,0.305,0.003,0.033,0.113
0.5,3.00E-04,0,60,100,1000,0.45,90,0.099,0.208,0.588,3.302,7.965,0.044,0.4,1.343,0.008,0.085,0.289,0.003,0.032,0.11
0.5,3.00E-04,0,60,100,1500,0.45,0,0.056,0.213,0.869,7.209,22.441,0.041,0.405,1.395,0.006,0.072,0.259,0.002,0.025,0.093
0.5,3.00E-04,0,60,100,1500,0.45,45,0.056,0.213,0.923,7.574,23.109,0.041,0.421,1.481,0.006,0.074,0.265,0.002,0.026,0.095
0.5,3.00E-04,0,60,100,1500,0.45,90,0.056,0.213,0.799,6.287,17.775,0.037,0.373,1.355,0.006,0.07,0.253,0.002,0.025,0.092
0.5,3.00E-04,0,100,100,500,0.45,0,0.412,0.414,0.328,1.688,4.031,0.037,0.298,0.789,0.006,0.059,0.173,0.002,0.021,0.062
0.5,3.00E-04,0,100,100,500,0.45,45,0.412,0.414,0.352,1.702,3.938,0.038,0.317,0.855,0.006,0.062,0.181,0.002,0.022,0.066
0.5,3.00E-04,0,100,100,500,0.45,90,0.412,0.414,0.141,0.566,1.209,0.033,0.235,0.606,0.006,0.058,0.167,0.002,0.022,0.064
0.5,3.00E-04,0,100,100,750,0.45,0,0.286,0.473,0.554,3.477,9.234,0.04,0.377,1.113,0.006,0.065,0.21,0.002,0.023,0.074
0.5,3.00E-04,0,100,100,750,0.45,45,0.286,0.473,0.582,3.387,8.725,0.042,0.394,1.183,0.006,0.068,0.217,0.002,0.024,0.077
0.5,3.00E-04,0,100,100,750,0.45,90,0.286,0.473,0.309,1.421,3.244,0.038,0.323,0.957,0.006,0.066,0.208,0.002,0.024,0.076
0.5,3.00E-04,0,100,100,1000,0.45,0,0.207,0.426,0.719,5.125,14.647,0.039,0.393,1.251,0.005,0.064,0.216,0.002,0.022,0.075
0.5,3.00E-04,0,100,100,1000,0.45,45,0.207,0.426,0.755,5.052,14.023,0.04,0.407,1.314,0.006,0.066,0.223,0.002,0.023,0.078
0.5,3.00E-04,0,100,100,1000,0.45,90,0.207,0.426,0.493,2.721,6.574,0.037,0.35,1.131,0.006,0.064,0.215,0.002,0.023,0.077
0.5,3.00E-04,0,100,100,1500,0.45,0,0.115,0.446,0.867,7.346,23.518,0.033,0.369,1.28,0.004,0.055,0.199,0.001,0.019,0.068
0.5,3.00E-04,0,100,100,1500,0.45,45,0.115,0.446,0.912,7.45,23.387,0.034,0.377,1.318,0.005,0.057,0.204,0.002,0.019,0.07
0.5,3.00E-04,0,100,100,1500,0.45,90,0.115,0.446,0.724,5.6,16.026,0.031,0.335,1.192,0.005,0.054,0.197,0.002,0.019,0.069
0.5,3.00E-04,0,200,100,500,0.45,0,0.528,0.944,0.034,0.135,0.282,0.003,0.029,0.072,0,0.004,0.011,0,0.001,0.004
0.5,3.00E-04,0,200,100,500,0.45,45,0.528,0.944,0.035,0.143,0.295,0.003,0.029,0.07,0,0.005,0.012,0,0.002,0.004
0.5,3.00E-04,0,200,100,500,0.45,90,0.528,0.944,0.014,0.05,0.101,0.003,0.022,0.052,0,0.005,0.012,0,0.002,0.004
0.5,3.00E-04,0,200,100,750,0.45,0,0.377,0.951,0.048,0.207,0.446,0.004,0.033,0.086,0,0.005,0.013,0,0.002,0.005
0.5,3.00E-04,0,200,100,750,0.45,45,0.377,0.951,0.05,0.218,0.464,0.004,0.034,0.087,0.001,0.005,0.014,0,0.002,0.005
0.5,3.00E-04,0,200,100,750,0.45,90,0.377,0.951,0.02,0.074,0.151,0.003,0.028,0.068,0.001,0.005,0.014,0,0.002,0.005
0.5,3.00E-04,0,200,100,1000,0.45,0,0.284,0.888,0.123,0.576,1.282,0.006,0.056,0.152,0.001,0.008,0.022,0,0.003,0.008
0.5,3.00E-04,0,200,100,1000,0.45,45,0.284,0.888,0.126,0.597,1.311,0.006,0.059,0.157,0.001,0.009,0.024,0,0.003,0.008
0.5,3.00E-04,0,200,100,1000,0.45,90,0.284,0.888,0.044,0.171,0.354,0.006,0.048,0.124,0.001,0.008,0.023,0,0.003,0.008
0.5,3.00E-04,0,200,100,1500,0.45,0,0.174,0.893,0.213,1.274,3.368,0.007,0.076,0.229,0.001,0.01,0.032,0,0.003,0.011
0.5,3.00E-04,0,200,100,1500,0.45,45,0.174,0.893,0.217,1.281,3.276,0.007,0.079,0.236,0.001,0.011,0.033,0,0.004,0.011
0.5,3.00E-04,0,200,100,1500,0.45,90,0.174,0.893,0.098,0.461,1.046,0.007,0.068,0.2,0.001,0.01,0.032,0,0.004,0.011
0.5,1.00E-03,0,30,100,500,0.45,0,0.039,0.028,0.431,2.063,4.886,0.081,0.568,1.614,0.028,0.195,0.567,0.014,0.108,0.306
0.5,1.00E-03,0,30,100,500,0.45,45,0.039,0.028,0.453,2.09,4.883,0.094,0.65,1.827,0.03,0.227,0.669,0.014,0.119,0.35
0.5,1.00E-03,0,30,100,500,0.45,90,0.039,0.028,0.275,1.134,2.516,0.079,0.522,1.417,0.027,0.199,0.589,0.013,0.107,0.319
0.5,1.00E-03,0,30,100,750,0.45,0,0.029,0.026,0.708,3.644,8.931,0.088,0.71,2.238,0.026,0.206,0.652,0.012,0.106,0.325
0.5,1.00E-03,0,30,100,750,0.45,45,0.029,0.026,0.755,3.783,9.177,0.099,0.799,2.516,0.028,0.231,0.744,0.012,0.113,0.358
0.5,1.00E-03,0,30,100,750,0.45,90,0.029,0.026,0.546,2.464,5.677,0.086,0.69,2.144,0.025,0.209,0.681,0.011,0.103,0.333
0.5,1.00E-03,0,30,100,1000,0.45,0,0.024,0.025,0.951,5.275,13.334,0.088,0.77,2.588,0.024,0.204,0.668,0.01,0.1,0.32
0.5,1.00E-03,0,30,100,1000,0.45,45,0.024,0.025,1.034,5.647,14.155,0.097,0.851,2.883,0.025,0.222,0.745,0.011,0.104,0.342
0.5,1.00E-03,0,30,100,1000,0.45,90,0.024,0.025,0.833,4.183,9.962,0.086,0.762,2.583,0.022,0.202,0.694,0.01,0.095,0.321
0.5,1.00E-03,0,30,100,1500,0.45,0,0.018,0.026,1.286,8.244,22.034,0.081,0.769,2.79,0.02,0.184,0.632,0.008,0.085,0.287
0.5,1.00E-03,0,30,100,1500,0.45,45,0.018,0.026,1.438,9.316,24.935,0.087,0.83,3.052,0.02,0.193,0.68,0.008,0.086,0.297
0.5,1.00E-03,0,30,100,1500,0.45,90,0.018,0.026,1.297,8.162,21.394,0.077,0.761,2.852,0.018,0.176,0.639,0.008,0.079,0.279
0.5,1.00E-03,0,60,100,500,0.45,0,0.237,0.08,0.769,3.711,8.76,0.122,0.864,2.435,0.031,0.267,0.769,0.012,0.121,0.362
0.5,1.00E-03,0,60,100,500,0.45,45,0.237,0.08,0.803,3.723,8.62,0.138,0.997,2.781,0.033,0.291,0.864,0.013,0.127,0.387
0.5,1.00E-03,0,60,100,500,0.45,90,0.237,0.08,0.429,1.755,3.847,0.111,0.762,2.069,0.03,0.253,0.755,0.012,0.117,0.357
0.5,1.00E-03,0,60,100,750,0.45,0,0.147,0.087,1.255,6.734,16.613,0.133,1.074,3.357,0.029,0.281,0.889,0.011,0.118,0.386
0.5,1.00E-03,0,60,100,750,0.45,45,0.147,0.087,1.33,6.813,16.527,0.145,1.214,3.798,0.03,0.298,0.97,0.011,0.122,0.405
0.5,1.00E-03,0,60,100,750,0.45,90,0.147,0.087,0.907,4.054,9.254,0.123,1.022,3.208,0.028,0.269,0.885,0.011,0.115,0.383
